Geneid,Chr,Start,End,Strand,Length,Female_1,Female_2,Female_3,Female_4,Labium_1,Labium_2,Labium_3 ,Labium_4,Male_1,Male_2,Male_3 ,Male_4 ,MH_12 
gene0,NC_035107.1;NC_035107.1,28171;28468,28393;28857,-;-,613,0,2,0,0,5,40,0,74,0,1,0,0,0
gene1,NC_035107.1;NC_035107.1,29507;29726,29645;30127,-;-,541,23,0,23,113,9,14,3,11,0,0,0,0,0
gene2,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,31440;31832;32495;32732;33720,31761;32404;32673;33596;34003,+;+;+;+;+,2223,968,3368,397,423,1441,1500,1600,1916,2,0,813,338,415
gene3,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,40655;43942;44349;44631;44746;47206;47446;47682;55765;60579;61274;68197;69626;72682;103984,41958;44209;44471;44685;44834;47342;47614;47797;55945;60759;61383;68241;69932;72809;104063,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3293,686,0,151,127,16,115,19,12,0,0,0,0,95
gene4,NC_035107.1;NC_035107.1,104142;105644,105570;105807,-;-,1593,2715,3357,903,3914,1831,1696,1856,2125,27,3783,973,2682,2417
gene5,NC_035107.1;NC_035107.1;NC_035107.1,129789;142976;143119,129946;143057;143166,+;+;+,288,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,147184;147566;147752;147980;148531;148725;148928;150097;150239;157234;157532;157866;170024,147462;147693;147911;148448;148669;148866;148961;150166;150401;157470;157626;158625;170211,-;-;-;-;-;-;-;-;-;-;-;-;-,2864,0,0,0,0,0,0,0,15,0,0,0,0,0
gene7,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,171134;171486;176450;177700;178067,171417;171826;177647;178005;178442,+;+;+;+;+,2505,0,0,0,2,0,4,0,12,0,0,0,0,0
gene8,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,178359;179581;179885;180145,179514;179824;180082;182727,-;-;-;-,4181,1002,469,2671,192,220,306,364,635,0,0,1,921,260
gene9,NC_035107.1;NC_035107.1,182942;183600,183537;183817,+;+,814,1518,684,2017,1856,1334,1173,1199,1234,0,6538,3294,6145,2002
gene10,NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1;NC_035107.1,184877;185986;186322;186975;187210;187579;187724;187870;188589;188908,185933;186263;186913;187155;187518;187659;187798;188522;188900;189270,-;-;-;-;-;-;-;-;-;-,3901,726,450,0,1,1235,1445,1451,1902,0,415,0,2969,0
gene11,NC_035107.1;NC_035107.1;NC_035107.1,197693;200136;209778,200076;201042;212147,-;-;-,5661,3,10,0,8,0,19,112,65,0,0,0,0,0
